WadeInstrFirst,Gender,WadeGPA,Instructors,ICESRating,Subject,WadeInstrLast,GrayInstrFirst,CRN,Salary,ICESTA,Course
,NONE,NONE,"D,Green;M,Hutchens;",EXCELLENT,ACCY,,,69444,,False,505
m,NONE,3.47,"M,Kustanovich;",OUTSTANDING,ACCY,kustanovich,,71549,,False,506
,NONE,NONE,"M,Kustanovich;",OUTSTANDING,ACCY,,,71551,,False,506
c,NONE,3.76,"C,Steward;",NONE,ACCY,steward,,49275,,,510
c,NONE,3.86,"C,Steward;",NONE,ACCY,steward,,61974,,,510
c,NONE,3.88,"C,Steward;",NONE,ACCY,steward,,62037,,,510
z,NONE,3.93,"L,Lu;",EXCELLENT,ACCY,lu,,51813,,False,512
z,NONE,3.94,"L,Lu;",EXCELLENT,ACCY,lu,,51814,,False,512
z,NONE,3.96,"L,Lu;",EXCELLENT,ACCY,lu,,51816,,False,512
y,NONE,3.46,"Y,Zhou;",NONE,ACCY,zhou,,46977,,,515
y,NONE,3.48,"Y,Zhou;",NONE,ACCY,zhou,,46978,,,515
y,NONE,3.33,"Y,Zhou;",NONE,ACCY,zhou,,54477,,,515
b,NONE,3.59,"B,Hamm;",OUTSTANDING,ACCY,hamm,,31373,,False,517
y,NONE,3.53,"Y,Li;",EXCELLENT,ACCY,li,,31377,,True,517
,NONE,NONE,"Y,Li;",EXCELLENT,ACCY,,,39543,,True,517
b,NONE,3.68,"B,Hamm;",OUTSTANDING,ACCY,hamm,,31379,,False,517
,NONE,NONE,"F,Nekrasz;",OUTSTANDING,ACCY,,,66681,,False,518
f,NONE,3.97,"F,Nekrasz;",OUTSTANDING,ACCY,nekrasz,,66682,,False,518
f,NONE,3.98,"F,Nekrasz;",OUTSTANDING,ACCY,nekrasz,,66683,,False,518
,NONE,NONE,"F,Nekrasz;",OUTSTANDING,ACCY,,,70667,,False,518
b,NONE,3.85,"B,Hamm;",OUTSTANDING,ACCY,hamm,,76802,,False,531
,NONE,NONE,"B,Hamm;",OUTSTANDING,ACCY,,,76803,,False,531
o,NONE,3.84,"O,Urcan;",EXCELLENT,ACCY,urcan,,76804,,False,532
,NONE,NONE,"O,Urcan;",EXCELLENT,ACCY,,,76805,,False,532
t,NONE,3.37,"T,Sternburg;",NONE,ACCY,sternburg,,31382,,,551
,NONE,NONE,"T,Sternburg;",NONE,ACCY,,,74619,,,552
,NONE,NONE,"D,Holder;",NONE,ACCY,,,54570,,,556
d,NONE,3.47,"D,Holder;",NONE,ACCY,holder,,31384,,,556
r,NONE,3.65,"R,Guymon;",EXCELLENT,ACCY,guymon,,71963,,False,569
,NONE,NONE,"R,Guymon;",EXCELLENT,ACCY,,,71964,,False,569
v,NONE,3.8,"V,Anand;S,Kim;",OUTSTANDING,ACCY,anand,,68784,,True,570
v,NONE,3.87,"V,Anand;S,Kim;",OUTSTANDING,ACCY,anand,,68785,,True,570
,NONE,NONE,"K,Mendoza;L,Yang;",EXCELLENT,ACCY,,,68786,,True,570
z,NONE,3.97,"J,LoVerde;K,Mendoza;",OUTSTANDING,ACCY,lu,,68787,,False,570
z,NONE,3.94,"J,LoVerde;K,Mendoza;",OUTSTANDING,ACCY,lu,,70665,,False,570
t,NONE,3.81,"J,Herbold;L,Yang;",EXCELLENT,ACCY,herbold,,76784,,True,570
v,NONE,3.89,"V,Anand;S,Kim;",OUTSTANDING,ACCY,anand,,71909,,True,570
r,NONE,3.61,"R,Brunner;",NONE,ACCY,brunner,,76792,,,571
,NONE,NONE,"M,Penn;",NONE,ACCY,,,74620,,,575
z,NONE,3.8,"L,Lu;",NONE,ACCY,lu,,73609,,,578
,NONE,NONE,"F,Nekrasz;",OUTSTANDING,ACCY,,,73610,,False,578
,NONE,NONE,"L,Lu;",NONE,ACCY,,,73611,,,578
,NONE,NONE,"F,Nekrasz;",OUTSTANDING,ACCY,,,73613,,False,578
,NONE,NONE,"R,Schwartz;",NONE,ACCY,,,76138,,,590
,NONE,NONE,"W,Wang;",NONE,ACCY,,,29682,,,592
,NONE,NONE,,NONE,ACCY,,,10041,,,593
,NONE,NONE,"R,Venugopalan;",NONE,ACCY,,,36850,,,593
,NONE,NONE,"A,Abdel-Khalik;",NONE,ACCY,,,76757,,,593
,NONE,NONE,"A,Thompson;",NONE,ACCY,,,42664,,,593
,NONE,NONE,"A,Thompson;",NONE,ACCY,,,36846,,,593
,NONE,NONE,"M,Regenwetter;",NONE,ACCY,,,38074,,,595
,NONE,NONE,"A,Thompson;",NONE,ACCY,,,29686,,,599
,NONE,NONE,"A,Thompson;",NONE,ACCY,,,72693,,,599
c,NONE,2.96,"L,Gundersen;C,Reed;",NONE,ACE,reed,,36724,,,100
p,NONE,3.03,"L,Gundersen;P,Hadunka;",NONE,ACE,hadunka,,36726,,,100
,NONE,NONE,"L,Gundersen;M,Kalaitzandonakes;",EXCELLENT,ACE,,,36732,,True,100
m,NONE,3.35,"L,Gundersen;M,Kalaitzandonakes;",EXCELLENT,ACE,kalaitzandonake,,36734,,True,100
p,NONE,3.25,"L,Gundersen;P,Hadunka;",NONE,ACE,hadunka,,36735,,,100
c,NONE,3.26,"L,Gundersen;C,Reed;",NONE,ACE,reed,,56843,,,100
,NONE,NONE,"L,Gundersen;",NONE,ACE,,,36722,,,100
m,NONE,3.09,"M,Burnett;",NONE,ACE,burnett,,39708,,,161
m,NONE,3.45,"M,Burnett;",NONE,ACE,burnett,,36751,,,161
a,NONE,3.38,"A,Lo;",NONE,ACE,lo,,36742,,,161
a,NONE,3.12,"A,Lo;",NONE,ACE,lo,,36744,,,161
a,NONE,3.71,"A,Lo;",EXCELLENT,ACE,lo,,61499,,False,199
p,NONE,3.76,"A,Elmore;P,Stoddard;",OUTSTANDING,ACE,stoddard,,58282,,False,199
k,NONE,3.98,"K,Irani;",NONE,ACE,irani,,58547,,,199
j,NONE,3.74,"J,Coppess;",NONE,ACE,coppess,,73756,,,203
,NONE,NONE,"P,Christensen;C,Valencia Rivamontan;",EXCELLENT,ACE,,,61568,,True,210
,NONE,NONE,"P,Christensen;E,Vizcarrondo Garrastegui;",OUTSTANDING,ACE,,,61575,,True,210
,NONE,NONE,"P,Christensen;C,Valencia Rivamontan;",EXCELLENT,ACE,,,61580,,True,210
,NONE,NONE,"P,Christensen;C,Valencia Rivamontan;",EXCELLENT,ACE,,,61585,,True,210
,NONE,NONE,"P,Christensen;E,Vizcarrondo Garrastegui;",OUTSTANDING,ACE,,,61590,,True,210
,NONE,NONE,"P,Christensen;E,Vizcarrondo Garrastegui;",OUTSTANDING,ACE,,,61595,,True,210
p,NONE,3.17,"P,Christensen;",NONE,ACE,christensen,,61563,,,210
p,NONE,3.51,"P,Stoddard;",OUTSTANDING,ACE,stoddard,,29698,,False,222
p,NONE,3.15,"J,Diaz Gutierrez;A,Elmore;P,Stoddard;",OUTSTANDING,ACE,stoddard,,51717,,False,240
d,NONE,3.39,"D,Sanchez;",OUTSTANDING,ACE,sanchez,,69393,,False,240
c,NONE,3.78,"C,Lemoine;",NONE,ACE,lemoine,,74876,,,240
,NONE,NONE,"H,Michelson;",NONE,ACE,,,73062,,,251
,NONE,NONE,"H,Michelson;",NONE,ACE,,,40968,,,251
,NONE,NONE,"H,Michelson;",NONE,ACE,,,49099,,,251
,NONE,NONE,"H,Michelson;",NONE,ACE,,,49100,,,251
,NONE,NONE,"H,Michelson;",NONE,ACE,,,58922,,,251
,NONE,NONE,"H,Michelson;",NONE,ACE,,,65292,,,251
,NONE,NONE,"H,Michelson;",NONE,ACE,,,75099,,,251
,NONE,NONE,"H,Michelson;",NONE,ACE,,,75100,,,251
h,NONE,3.6,"H,Michelson;",NONE,ACE,michelson,,49101,,,251
s,NONE,3.06,"S,Sellars;",NONE,ACE,sellars,,72898,,,262
m,NONE,2.96,"M,Skidmore;",NONE,ACE,skidmore,,72900,,,264
l,NONE,3.39,"L,Gundersen;",EXCELLENT,ACE,gundersen,,77284,,False,270
,NONE,NONE,,NONE,ACE,,,10044,,,293
,NONE,NONE,,NONE,ACE,,,10057,,,294
