CRN,Course,WadeGPA,WadeInstrLast,WadeInstrFirst,ICESRating,ICESTA,Gender,Salary,Subject,GrayInstrFirst,Instructors
36614,302,3.44,choy,s,EXCELLENT,False,NONE,,ACCY,,"S,Choy;"
36618,302,3.57,choy,s,EXCELLENT,False,NONE,,ACCY,,"S,Choy;"
36677,302,3.54,curtis,s,NONE,,NONE,,ACCY,,"S,Curtis;"
36680,302,3.27,curtis,s,NONE,,NONE,,ACCY,,"S,Curtis;"
36688,302,3.41,curtis,s,NONE,,NONE,,ACCY,,"S,Curtis;"
49258,302,3.2,choy,s,EXCELLENT,False,NONE,,ACCY,,"S,Choy;"
36690,302,NONE,,,NONE,,NONE,,ACCY,,"S,Curtis;"
36700,303,3.49,hamm,b,OUTSTANDING,False,NONE,,ACCY,,"B,Hamm;"
36701,303,3.28,hamm,b,OUTSTANDING,False,NONE,,ACCY,,"B,Hamm;"
36713,303,3.23,hamm,b,OUTSTANDING,False,NONE,,ACCY,,"B,Hamm;"
49259,303,3.25,pachera,s,OUTSTANDING,False,NONE,,ACCY,,"S,Pachera;"
36703,303,3.41,pachera,s,OUTSTANDING,False,NONE,,ACCY,,"S,Pachera;"
67818,303,3.37,pachera,s,OUTSTANDING,False,NONE,,ACCY,,"S,Pachera;"
31317,304,3.25,williamson,m,EXCELLENT,False,NONE,,ACCY,,"M,Williamson;"
31318,304,3.38,williamson,m,EXCELLENT,False,NONE,,ACCY,,"M,Williamson;"
31319,304,3.46,dahle,a,EXCELLENT,False,NONE,,ACCY,,"A,Dahle;"
31320,304,3.27,dahle,a,EXCELLENT,False,NONE,,ACCY,,"A,Dahle;"
49280,304,3.27,dahle,a,EXCELLENT,False,NONE,,ACCY,,"A,Dahle;"
31321,312,3.37,richter,s,EXCELLENT,False,NONE,,ACCY,,"S,Richter;"
31330,312,3.36,richter,s,EXCELLENT,False,NONE,,ACCY,,"S,Richter;"
31332,312,3.24,richter,s,EXCELLENT,False,NONE,,ACCY,,"S,Richter;"
31333,312,3.35,vuong,a,NONE,,NONE,,ACCY,,"A,Vuong;"
45719,312,3.32,vuong,a,NONE,,NONE,,ACCY,,"A,Vuong;"
45934,312,3.33,holder,c,OUTSTANDING,False,NONE,,ACCY,,"C,Holder;"
60065,321,NONE,,,NONE,,NONE,,ACCY,,"C,Howell;"
79407,375,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Lullo;"
61229,398,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Hutchens;"
64742,398,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Hutchens;"
64739,398,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Hutchens;"
64732,398,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Hutchens;"
61230,398,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Hutchens;"
36754,405,3.6,rogowski,e,OUTSTANDING,False,NONE,,ACCY,,"E,Rogowski;"
36758,405,3.81,rogowski,e,OUTSTANDING,False,NONE,,ACCY,,"E,Rogowski;"
36764,405,3.3,thompson,a,NONE,,NONE,,ACCY,,"A,Thompson;"
36768,405,3.5,thompson,a,NONE,,NONE,,ACCY,,"A,Thompson;"
36771,405,3.26,thompson,a,NONE,,NONE,,ACCY,,"A,Thompson;"
36775,405,3.65,rogowski,e,OUTSTANDING,False,NONE,,ACCY,,"E,Rogowski;"
36779,405,NONE,,,NONE,,NONE,,ACCY,,"M,Donohoe;"
29671,410,NONE,,,EXCELLENT,False,NONE,,ACCY,,"A,Ibrahim;"
64651,410,NONE,,,EXCELLENT,False,NONE,,ACCY,,"A,Ibrahim;"
61231,410,3.32,kustanovich,m,NONE,,NONE,,ACCY,,"M,Kustanovich;"
64652,410,NONE,,,NONE,,NONE,,ACCY,,"M,Kustanovich;"
62729,410,3.26,kustanovich,m,NONE,,NONE,,ACCY,,"M,Kustanovich;"
64654,410,NONE,,,NONE,,NONE,,ACCY,,"M,Kustanovich;"
62730,410,3.38,ibrahim,a,EXCELLENT,False,NONE,,ACCY,,"A,Ibrahim;"
64656,410,NONE,,,EXCELLENT,False,NONE,,ACCY,,"A,Ibrahim;"
62731,410,3.23,ibrahim,a,EXCELLENT,False,NONE,,ACCY,,"A,Ibrahim;"
64657,410,NONE,,,EXCELLENT,False,NONE,,ACCY,,"A,Ibrahim;"
49130,451,3.39,beardsley,e,OUTSTANDING,False,NONE,,ACCY,,"E,Beardsley;"
63159,451,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"E,Beardsley;"
54569,451,3.43,holder,c,OUTSTANDING,False,NONE,,ACCY,,"C,Holder;"
63160,451,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"C,Holder;"
62733,451,3.49,holder,c,OUTSTANDING,False,NONE,,ACCY,,"C,Holder;"
63161,451,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"C,Holder;"
63119,451,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"E,Beardsley;"
63163,451,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"E,Beardsley;"
70659,451,3.17,beardsley,e,OUTSTANDING,False,NONE,,ACCY,,"E,Beardsley;"
70660,451,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"E,Beardsley;"
10038,499,NONE,,,NONE,,NONE,,ACCY,,
62025,500,3.84,augusto sampaio,g,EXCELLENT,False,NONE,,ACCY,,"G,Augusto Sampaio Franco de Lima;"
67282,500,3.94,mendoza,s,EXCELLENT,False,NONE,,ACCY,,"S,Mendoza;O,Urcan;"
67281,500,NONE,,,EXCELLENT,False,NONE,,ACCY,,"S,Mendoza;O,Urcan;"
56063,500,3.94,augusto sampaio,g,EXCELLENT,False,NONE,,ACCY,,"G,Augusto Sampaio Franco de Lima;"
29678,501,3.61,augusto sampaio,g,OUTSTANDING,False,NONE,,ACCY,,"G,Augusto Sampaio Franco de Lima;M,Evans;"
69435,501,3.68,augusto sampaio,g,OUTSTANDING,False,NONE,,ACCY,,"G,Augusto Sampaio Franco de Lima;M,Evans;"
70308,501,3.44,johnson,j,NONE,,NONE,,ACCY,,"J,Johnson;"
69437,501,3.55,augusto sampaio,g,OUTSTANDING,False,NONE,,ACCY,,"G,Augusto Sampaio Franco de Lima;M,Evans;"
69438,501,3.78,augusto sampaio,g,OUTSTANDING,False,NONE,,ACCY,,"G,Augusto Sampaio Franco de Lima;M,Evans;"
29680,502,3.67,schwartz,r,OUTSTANDING,False,NONE,,ACCY,,"R,Schwartz;"
31334,502,3.39,schwartz,r,OUTSTANDING,False,NONE,,ACCY,,"R,Schwartz;"
71904,502,3.42,mendoza,s,EXCELLENT,False,NONE,,ACCY,,"M,Evans;S,Mendoza;"
71905,502,3.63,mendoza,s,EXCELLENT,False,NONE,,ACCY,,"M,Evans;S,Mendoza;"
76239,502,3.17,schwartz,r,OUTSTANDING,False,NONE,,ACCY,,"R,Schwartz;"
71906,502,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Evans;S,Mendoza;"
71907,502,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Evans;S,Mendoza;"
31335,503,3.48,johnson,j,NONE,,NONE,,ACCY,,"J,Johnson;"
77353,503,3.59,johnson,j,NONE,,NONE,,ACCY,,"J,Johnson;"
66973,503,3.82,guymon,r,EXCELLENT,False,NONE,,ACCY,,"A,Chatterton;R,Guymon;L,Zhang;"
66974,503,3.43,guymon,r,EXCELLENT,False,NONE,,ACCY,,"A,Chatterton;R,Guymon;L,Zhang;"
59162,504,3.61,rozario,a,EXCELLENT,False,NONE,,ACCY,,"A,Rozario;"
64875,504,3.68,rozario,a,EXCELLENT,False,NONE,,ACCY,,"A,Rozario;"
70165,504,3.34,peecher,m,NONE,,NONE,,ACCY,,"A,Chatterton;M,Peecher;"
70166,504,3.45,peecher,m,NONE,,NONE,,ACCY,,"A,Chatterton;M,Peecher;"
76238,504,3.56,rozario,a,EXCELLENT,False,NONE,,ACCY,,"A,Rozario;"
70167,504,NONE,,,NONE,,NONE,,ACCY,,"A,Chatterton;M,Peecher;"
70168,504,NONE,,,NONE,,NONE,,ACCY,,"A,Chatterton;M,Peecher;"
31339,505,3.6,alt,a,OUTSTANDING,False,NONE,,ACCY,,"M,Alt;"
31341,505,3.69,alt,a,OUTSTANDING,False,NONE,,ACCY,,"M,Alt;"
54993,505,3.6,hutchens,m,EXCELLENT,False,NONE,,ACCY,,"M,Hutchens;"
57605,505,3.49,hutchens,m,EXCELLENT,False,NONE,,ACCY,,"M,Hutchens;"
69441,505,3.68,hutchens,m,EXCELLENT,False,NONE,,ACCY,,"M,Evans;M,Hutchens;"
69442,505,3.58,hutchens,m,EXCELLENT,False,NONE,,ACCY,,"M,Evans;M,Hutchens;"
70661,505,3.61,alt,a,OUTSTANDING,False,NONE,,ACCY,,"M,Alt;"
69443,505,3.39,hutchens,m,EXCELLENT,False,NONE,,ACCY,,"M,Evans;M,Hutchens;"
69444,505,3.7,hutchens,m,EXCELLENT,False,NONE,,ACCY,,"M,Evans;M,Hutchens;"
71549,506,3.36,kustanovich,m,OUTSTANDING,False,NONE,,ACCY,,"M,Kustanovich;"
71551,506,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"M,Kustanovich;"
49275,510,3.56,mongold,c,NONE,,NONE,,ACCY,,"C,Mongold;"
61974,510,3.77,mongold,c,NONE,,NONE,,ACCY,,"C,Mongold;"
62037,510,3.61,mongold,c,NONE,,NONE,,ACCY,,"C,Mongold;"
51813,512,NONE,,,NONE,,NONE,,ACCY,,"L,Lu;"
51814,512,3.83,lu,z,NONE,,NONE,,ACCY,,"L,Lu;"
51816,512,NONE,,,NONE,,NONE,,ACCY,,"L,Lu;"
46977,515,3.52,zhou,y,OUTSTANDING,False,NONE,,ACCY,,"D,Zhou;"
46978,515,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"D,Zhou;"
54477,515,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"D,Zhou;"
31373,517,3.78,li,y,EXCELLENT,False,NONE,,ACCY,,"Y,Li;"
31377,517,NONE,,,EXCELLENT,False,NONE,,ACCY,,"Y,Li;"
39543,517,NONE,,,EXCELLENT,False,NONE,,ACCY,,"G,Augusto Sampaio Franco de Lima;"
31379,517,NONE,,,EXCELLENT,False,NONE,,ACCY,,"Y,Li;"
66681,518,NONE,,,EXCELLENT,False,NONE,,ACCY,,"F,Nekrasz;"
66682,518,NONE,,,EXCELLENT,False,NONE,,ACCY,,"F,Nekrasz;"
66683,518,3.96,nekrasz,f,EXCELLENT,False,NONE,,ACCY,,"F,Nekrasz;"
70667,518,NONE,,,EXCELLENT,False,NONE,,ACCY,,"F,Nekrasz;"
76802,531,3.85,hamm,b,OUTSTANDING,False,NONE,,ACCY,,"A,Chatterton;B,Hamm;"
76803,531,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"A,Chatterton;B,Hamm;"
76804,532,3.96,urcan,o,EXCELLENT,False,NONE,,ACCY,,"O,Urcan;"
76805,532,NONE,,,EXCELLENT,False,NONE,,ACCY,,"O,Urcan;"
31382,551,3.5,sternburg,t,NONE,,NONE,,ACCY,,"T,Sternburg;"
74619,552,NONE,,,NONE,,NONE,,ACCY,,"T,Sternburg;"
54570,556,3.59,holder,d,EXCELLENT,False,NONE,,ACCY,,"D,Holder;"
31384,556,3.69,holder,d,EXCELLENT,False,NONE,,ACCY,,"D,Holder;"
71963,569,3.64,guymon,r,EXCELLENT,False,NONE,,ACCY,,"A,Chatterton;R,Guymon;"
71964,569,NONE,,,EXCELLENT,False,NONE,,ACCY,,"A,Chatterton;R,Guymon;"
68784,570,NONE,,,OUTSTANDING,True,NONE,,ACCY,,"V,Anand;L,Lu;C,Seymour;"
68785,570,3.91,anand,v,OUTSTANDING,True,NONE,,ACCY,,"V,Anand;L,Lu;C,Seymour;"
68786,570,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"R,Crandall;L,Lu;Y,Lu;"
68787,570,3.89,lu,y,OUTSTANDING,True,NONE,,ACCY,,"L,Lu;Y,Lu;N,Wei;"
70665,570,3.93,lu,y,OUTSTANDING,True,NONE,,ACCY,,"L,Lu;Y,Lu;N,Wei;"
76784,570,3.84,herbold,t,OUTSTANDING,False,NONE,,ACCY,,"B,Forsberg;J,Herbold;L,Lu;"
71909,570,3.92,anand,v,OUTSTANDING,False,NONE,,ACCY,,"V,Anand;R,Crandall;L,Lu;"
66737,570,NONE,,,NONE,,NONE,,ACCY,,
78085,574,NONE,,,OUTSTANDING,False,NONE,,ACCY,,"E,Rogowski;"
74620,575,NONE,,,NONE,,NONE,,ACCY,,"B,Forsberg;M,Penn;"
79414,575,NONE,,,NONE,,NONE,,ACCY,,"B,Forsberg;M,Penn;"
73609,578,3.41,lu,z,NONE,,NONE,,ACCY,,"L,Lu;"
73610,578,3.8,nekrasz,f,NONE,,NONE,,ACCY,,"F,Nekrasz;"
73611,578,NONE,,,NONE,,NONE,,ACCY,,"L,Lu;"
73613,578,NONE,,,NONE,,NONE,,ACCY,,"F,Nekrasz;"
76138,590,NONE,,,NONE,,NONE,,ACCY,,"R,Schwartz;"
78819,590,NONE,,,NONE,,NONE,,ACCY,,"A,Thompson;"
29682,592,NONE,,,NONE,,NONE,,ACCY,,"C,Hayne;"
10041,593,NONE,,,NONE,,NONE,,ACCY,,
36850,593,NONE,,,NONE,,NONE,,ACCY,,"R,Venugopalan;"
76757,593,NONE,,,NONE,,NONE,,ACCY,,"A,Thompson;"
42664,593,NONE,,,NONE,,NONE,,ACCY,,"A,Thompson;"
36846,593,NONE,,,NONE,,NONE,,ACCY,,"A,Thompson;"
29686,599,NONE,,,NONE,,NONE,,ACCY,,"A,Thompson;"
72693,599,NONE,,,NONE,,NONE,,ACCY,,"A,Thompson;"
36724,100,3.12,gundersen,l,NONE,,NONE,,ACE,,"L,Gundersen;S,Hossain;"
36726,100,3.31,gundersen,l,NONE,,NONE,,ACE,,"L,Gundersen;"
36732,100,3.18,gundersen,l,NONE,,NONE,,ACE,,"L,Gundersen;J,Schaefer;"
36734,100,3.24,gundersen,l,NONE,,NONE,,ACE,,"L,Gundersen;J,Schaefer;"
36735,100,3.13,gundersen,l,NONE,,NONE,,ACE,,"L,Gundersen;J,Schaefer;"
56843,100,2.77,gundersen,l,NONE,,NONE,,ACE,,"L,Gundersen;S,Hossain;"
36722,100,NONE,,,NONE,,NONE,,ACE,,"L,Gundersen;"
36745,161,3.21,lo,a,NONE,,NONE,,ACE,,"A,Lo;"
39708,161,3.85,burnett,m,NONE,,NONE,,ACE,,"M,Burnett;"
36751,161,3.68,burnett,m,NONE,,NONE,,ACE,,"M,Burnett;"
36742,161,3.26,lo,a,NONE,,NONE,,ACE,,"A,Lo;"
36744,161,2.77,lo,a,NONE,,NONE,,ACE,,"A,Lo;"
79595,199,NONE,,,EXCELLENT,False,NONE,,ACE,,"A,Elmore;P,Stoddard;"
79596,199,NONE,,,EXCELLENT,False,NONE,,ACE,,"A,Elmore;P,Stoddard;"
79597,199,NONE,,,EXCELLENT,False,NONE,,ACE,,"A,Elmore;J,Lionberger;P,Stoddard;"
79598,199,NONE,,,EXCELLENT,False,NONE,,ACE,,"A,Elmore;P,Stoddard;"
79599,199,NONE,,,EXCELLENT,False,NONE,,ACE,,"A,Elmore;P,Stoddard;"
79600,199,NONE,,,EXCELLENT,False,NONE,,ACE,,"A,Elmore;P,Stoddard;"
79594,199,3.8,elmore,a,EXCELLENT,False,NONE,,ACE,,"A,Elmore;P,Stoddard;"
78478,199,NONE,,,OUTSTANDING,True,NONE,,ACE,,"S,Box-Couillard;"
78479,199,3.91,box-couillard,s,OUTSTANDING,True,NONE,,ACE,,"S,Box-Couillard;"
62014,199,NONE,,,NONE,,NONE,,ACE,,"T,Sigauke;"
29690,199,NONE,,,EXCELLENT,False,NONE,,ACE,,"R,Endres;L,Payne;N,Pitas;"
58547,199,NONE,,,NONE,,NONE,,ACE,,"L,Gundersen;"
73756,203,3.67,coppess,j,EXCELLENT,False,NONE,,ACE,,"J,Coppess;"
61568,210,NONE,,,NONE,,NONE,,ACE,,"L,Damon;P,Hadunka;"
61575,210,NONE,,,NONE,,NONE,,ACE,,"L,Damon;P,Hadunka;"
61580,210,NONE,,,NONE,,NONE,,ACE,,"L,Damon;E,Vizcarrondo Garrastegui;"
61595,210,NONE,,,NONE,,NONE,,ACE,,"L,Damon;E,Vizcarrondo Garrastegui;"
61563,210,3.33,damon,l,NONE,,NONE,,ACE,,"L,Damon;"
78326,220,3.66,elmore,a,EXCELLENT,False,NONE,,ACE,,"A,Elmore;"
79295,221,3.82,stoddard,p,EXCELLENT,False,NONE,,ACE,,"P,Stoddard;"
29698,222,2.97,stoddard,p,EXCELLENT,False,NONE,,ACE,,"P,Stoddard;"
69393,240,3.58,sanchez,d,EXCELLENT,False,NONE,,ACE,,"D,Sanchez;"
74876,240,3.77,lemoine,c,NONE,,NONE,,ACE,,"C,Lemoine;"
79578,243,3.58,sanchez,d,EXCELLENT,False,NONE,,ACE,,"J,Kuebler;D,Sanchez;"
79421,251,NONE,,,NONE,,NONE,,ACE,,"C,Kim;H,Michelson;"
73062,251,NONE,,,NONE,,NONE,,ACE,,"C,Kim;H,Michelson;"
40968,251,NONE,,,EXCELLENT,True,NONE,,ACE,,"H,Michelson;G,Venkateswaran;"
49099,251,NONE,,,NONE,,NONE,,ACE,,"H,Michelson;M,Pabon;"
49100,251,NONE,,,NONE,,NONE,,ACE,,"H,Michelson;M,Pabon;"
65292,251,NONE,,,EXCELLENT,True,NONE,,ACE,,"H,Michelson;G,Venkateswaran;"
75100,251,NONE,,,NONE,,NONE,,ACE,,"H,Michelson;M,Pabon;"
